product_name,short_name,launch_date,total_cores,max_turbo_frequency,processor_base_frequency,cache,tdp
Intel® Xeon® Platinum 8490H Processor,8490H,Q1'23,60,3.50 GHz,1.90 GHz,112.5 MB,350 W
Intel® Xeon® Platinum 8558 Processor,8558,Q4'23,48,4 GHz,2.1 GHz,260 MB,330 W
Intel® Xeon® Platinum 8558P Processor,8558P,Q4'23,48,4 GHz,2.7 GHz,260 MB,350 W
Intel® Xeon® Platinum 8558U Processor,8558U,Q4'23,48,4 GHz,2 GHz,260 MB,300 W
Intel® Xeon® Platinum 8562Y+ Processor,8562Y+,Q4'23,32,4.1 GHz,2.8 GHz,60 MB,300 W
Intel® Xeon® Platinum 8568Y+ Processor,8568Y+,Q4'23,48,4 GHz,2.3 GHz,300 MB,350 W
Intel® Xeon® Platinum 8570 Processor,8570,Q4'23,56,4 GHz,2.1 GHz,300 MB,350 W
Intel® Xeon® Platinum 8571N Processor,8571N,Q4'23,52,4 GHz,2.4 GHz,300 MB,300 W
Intel® Xeon® Platinum 8580 Processor,8580,Q4'23,60,4 GHz,2 GHz,300 MB,350 W
Intel® Xeon® Platinum 8581V Processor,8581V,Q4'23,60,3.9 GHz,2 GHz,300 MB,270 W
Intel® Xeon® Platinum 8592+ Processor,8592+,Q4'23,64,3.9 GHz,1.9 GHz,320 MB,350 W
Intel® Xeon® Platinum 8592V Processor,8592V,Q4'23,64,3.9 GHz,2 GHz,320 MB,330 W
Intel® Xeon® Platinum 8593Q Processor,8593Q,Q4'23,64,3.9 GHz,2.2 GHz,320 MB,385 W
Intel® Xeon® Platinum 9221 Processor,9221,Q3'19,32,3.70 GHz,2.30 GHz,71.5 MB,250 W
Intel® Xeon® Platinum 9222 Processor,9222,Q3'19,32,3.70 GHz,2.30 GHz,71.5 MB,250 W
Intel® Xeon® Platinum 9242 Processor,9242,Q2'19,48,3.80 GHz,2.30 GHz,71.5 MB Intel® Smart Cache,350 W
Intel® Xeon® Platinum 9282 Processor,9282,Q2'19,56,3.80 GHz,2.60 GHz,77 MB Intel® Smart Cache,400 W
Intel® Xeon® Processor D-1524N,D-1524N,Q4'18,4,2.6 GHz,2.00 GHz,6 MB,45 W
Intel® Xeon® Silver 4208 Processor,4208,Q2'19,8,3.20 GHz,2.10 GHz,11 MB,85 W
Intel® Xeon® Silver 4209T Processor,4209T,Q2'19,8,3.20 GHz,2.20 GHz,11 MB,70 W
Intel® Xeon® Silver 4210 Processor,4210,Q2'19,10,3.20 GHz,2.20 GHz,13.75 MB,85 W
Intel® Xeon® Silver 4210R Processor,4210R,Q1'20,10,3.20 GHz,2.40 GHz,13.75 MB,100 W
Intel® Xeon® Silver 4210T Processor,4210T,Q1'20,10,3.20 GHz,2.30 GHz,13.75 MB,95 W
Intel® Xeon® Silver 4214 Processor,4214,Q2'19,12,3.20 GHz,2.20 GHz,16.5 MB,85 W
Intel® Xeon® Silver 4214R Processor,4214R,Q1'20,12,3.50 GHz,2.40 GHz,16.5 MB,100 W
Intel® Xeon® Silver 4214Y Processor,4214Y,Q2'19,12,3.20 GHz,2.20 GHz,16.5 MB,85 W
Intel® Xeon® Silver 4215 Processor,4215,Q2'19,8,3.50 GHz,2.50 GHz,11 MB,85 W
Intel® Xeon® Silver 4215R Processor,4215R,Q1'20,8,4.00 GHz,3.20 GHz,11 MB,130 W
Intel® Xeon® Silver 4216 Processor,4216,Q2'19,16,3.20 GHz,2.10 GHz,22 MB,100 W
Intel® Xeon® Silver 4309Y Processor,4309Y,Q2'21,8,3.60 GHz,2.80 GHz,12 MB,105 W
Intel® Xeon® Silver 4310 Processor,4310,Q2'21,12,3.30 GHz,2.10 GHz,18 MB,120 W
Intel® Xeon® Silver 4310T Processor,4310T,Q2'21,10,3.40 GHz,2.30 GHz,15 MB,105 W
Intel® Xeon® Silver 4314 Processor,4314,Q2'21,16,3.40 GHz,2.40 GHz,24 MB,135 W
Intel® Xeon® Silver 4316 Processor,4316,Q2'21,20,3.40 GHz,2.30 GHz,30 MB,150 W
Intel® Xeon® Silver 4410T Processor,4410T,Q1'23,10,4.00 GHz,2.70 GHz,26.25 MB,150 W
Intel® Xeon® Silver 4410Y Processor,4410Y,Q1'23,12,3.90 GHz,2.00 GHz,30 MB,150 W
Intel® Xeon® Silver 4416+ Processor,4416+,Q1'23,20,3.90 GHz,2.00 GHz,37.5 MB,165 W
Intel® Xeon® Silver 4509Y Processor,4509Y,Q4'23,8,4.1 GHz,2.60 GHz,22.5 MB,125 W
Intel® Xeon® Silver 4510 Processor,4510,Q4'23,12,4.1 GHz,2.40 GHz,30 MB,150 W
Intel® Xeon® Silver 4510T Processor,4510T,Q4'23,12,3.7 GHz,2.00 GHz,30 MB,115 W
Intel® Xeon® Silver 4514Y Processor,4514Y,Q4'23,16,3.4 GHz,2 GHz,30 MB,150 W
Intel® Xeon® Silver 4516Y+ Processor,4516Y+,Q4'23,24,3.7 GHz,2.2 GHz,45 MB,185 W
Intel® Xeon® W-10855M Processor,W-10855M,Q2'20,6,5.10 GHz,2.80 GHz,12 MB Intel® Smart Cache,45 W
Intel® Xeon® W-10885M Processor,W-10885M,Q2'20,8,5.30 GHz,2.40 GHz,16 MB Intel® Smart Cache,45 W
Intel® Xeon® W-11155MLE Processor,W-11155MLE,Q3'21,4,3.10 GHz,1.80 GHz,8 MB Intel® Smart Cache,25 W
Intel® Xeon® W-11155MRE Processor,W-11155MRE,Q3'21,4,4.40 GHz,,8 MB Intel® Smart Cache,
Intel® Xeon® W-11555MLE Processor,W-11555MLE,Q3'21,6,4.40 GHz,1.90 GHz,12 MB Intel® Smart Cache,25 W
Intel® Xeon® W-11555MRE Processor,W-11555MRE,Q3'21,6,4.50 GHz,,12 MB Intel® Smart Cache,
Intel® Xeon® W-11855M Processor,W-11855M,Q2'21,6,4.90 GHz,,18 MB Intel® Smart Cache,
Intel® Xeon® W-11865MLE Processor,W-11865MLE,Q3'21,8,4.50 GHz,1.50 GHz,24 MB Intel® Smart Cache,25 W
Intel® Xeon® W-11865MRE Processor,W-11865MRE,Q3'21,8,4.70 GHz,,24 MB Intel® Smart Cache,
Intel® Xeon® W-11955M Processor,W-11955M,Q2'21,8,5.00 GHz,,24 MB Intel® Smart Cache,
Intel® Xeon® W-1250 Processor,W-1250,Q2'20,6,4.70 GHz,3.30 GHz,12 MB Intel® Smart Cache,80 W
Intel® Xeon® W-1250E Processor,W-1250E,Q2'20,6,4.70 GHz,3.50 GHz,12 MB Intel® Smart Cache,80 W
Intel® Xeon® W-1250P Processor,W-1250P,Q2'20,6,4.80 GHz,4.10 GHz,12 MB Intel® Smart Cache,125 W
Intel® Xeon® W-1250TE Processor,W-1250TE,Q2'20,6,3.80 GHz,2.40 GHz,12 MB Intel® Smart Cache,35 W
Intel® Xeon® W-1270 Processor,W-1270,Q2'20,8,5.00 GHz,3.40 GHz,16 MB Intel® Smart Cache,80 W
Intel® Xeon® W-1270E Processor,W-1270E,Q2'20,8,4.80 GHz,3.40 GHz,16 MB Intel® Smart Cache,80 W
Intel® Xeon® W-1270P Processor,W-1270P,Q2'20,8,5.10 GHz,3.80 GHz,16 MB Intel® Smart Cache,125 W
Intel® Xeon® W-1270TE Processor,W-1270TE,Q2'20,8,4.40 GHz,2.00 GHz,16 MB Intel® Smart Cache,35 W
Intel® Xeon® W-1290 Processor,W-1290,Q2'20,10,5.20 GHz,3.20 GHz,20 MB Intel® Smart Cache,80 W
Intel® Xeon® W-1290E Processor,W-1290E,Q2'20,10,4.80 GHz,3.50 GHz,20 MB Intel® Smart Cache,95 W
Intel® Xeon® W-1290P Processor,W-1290P,Q2'20,10,5.30 GHz,3.70 GHz,20 MB Intel® Smart Cache,125 W
Intel® Xeon® W-1290T Processor,W-1290T,Q2'20,10,4.70 GHz,1.90 GHz,20 MB Intel® Smart Cache,35 W
Intel® Xeon® W-1290TE Processor,W-1290TE,Q2'20,10,4.50 GHz,1.80 GHz,20 MB Intel® Smart Cache,35 W
Intel® Xeon® W-1350 Processor,W-1350,Q2'21,6,5.00 GHz,3.30 GHz,12 MB Intel® Smart Cache,80 W
Intel® Xeon® W-1350P Processor,W-1350P,Q2'21,6,5.10 GHz,4.00 GHz,12 MB Intel® Smart Cache,125 W
Intel® Xeon® W-1370 Processor,W-1370,Q2'21,8,5.10 GHz,2.90 GHz,16 MB Intel® Smart Cache,80 W
Intel® Xeon® W-1370P Processor,W-1370P,Q2'21,8,5.20 GHz,3.60 GHz,16 MB Intel® Smart Cache,125 W
Intel® Xeon® W-1390 Processor,W-1390,Q2'21,8,5.20 GHz,2.80 GHz,16 MB Intel® Smart Cache,80 W
Intel® Xeon® W-1390P Processor,W-1390P,Q2'21,8,5.30 GHz,3.50 GHz,16 MB Intel® Smart Cache,125 W
Intel® Xeon® W-1390T Processor,W-1390T,Q2'21,8,4.90 GHz,1.50 GHz,16 MB Intel® Smart Cache,35 W
Intel® Xeon® W-2223 Processor,W-2223,Q4'19,4,3.90 GHz,3.60 GHz,8.25 MB,120 W
Intel® Xeon® W-2225 Processor,W-2225,Q4'19,4,4.60 GHz,4.10 GHz,8.25 MB,105 W
Intel® Xeon® W-2235 Processor,W-2235,Q4'19,6,4.60 GHz,3.80 GHz,8.25 MB,130 W
Intel® Xeon® W-2245 Processor,W-2245,Q4'19,8,4.50 GHz,3.90 GHz,16.5 MB,155 W
Intel® Xeon® W-2255 Processor,W-2255,Q4'19,10,4.50 GHz,3.70 GHz,19.25 MB,165 W
Intel® Xeon® W-2265 Processor,W-2265,Q4'19,12,4.60 GHz,3.50 GHz,19.25 MB,165 W
